phone_id,country_id,country_code,country,currency,price_local,usd_rate,price_usd,dubai_avg_usd,dubai_diff_abs,dubai_diff_pct,price_rank
10,6,kw,Kuwait,KWD,279.9,3.25,909.675,815.7280000000001,93.94699999999989,11.516951729007694,1
23,1,ae,United Arab Emirates,AED,2999.0,0.272,815.7280000000001,815.7280000000001,0.0,0.0,1
38,12,ma,Morocco,MAD,4400.0,0.099,435.6,1077.2781395348838,-641.6781395348838,-59.5647601103211,1
38,12,ma,Morocco,MAD,4500.0,0.099,445.5,1077.2781395348838,-631.7781395348838,-58.645777385555675,2
39,12,ma,Morocco,MAD,3400.0,0.099,336.6,1027.8216585365853,-691.2216585365853,-67.2511279360223,1
39,12,ma,Morocco,MAD,3500.0,0.099,346.5,1027.8216585365853,-681.3216585365853,-66.28792581649355,2
40,12,ma,Morocco,MAD,2900.0,0.099,287.1,937.8968000000001,-650.7968000000001,-69.38895622631402,1
40,12,ma,Morocco,MAD,3000.0,0.099,297.0,937.8968000000001,-640.8968000000001,-68.33340299273864,2
40,11,jo,Jordan,JOD,1090.0,1.41,1536.8999999999999,937.8968000000001,599.0031999999998,63.8666428971716,3
44,12,ma,Morocco,MAD,1800.0,0.099,178.20000000000002,523.168551724138,-344.9685517241379,-65.93831960794859,1
44,12,ma,Morocco,MAD,1900.0,0.099,188.10000000000002,523.168551724138,-335.06855172413793,-64.04600403061241,2
44,11,jo,Jordan,JOD,790.0,1.41,1113.8999999999999,523.168551724138,590.7314482758619,112.9141738984627,3
67,12,ma,Morocco,MAD,3900.0,0.099,386.1,673.4448,-287.34479999999996,-42.667906857399444,1
67,12,ma,Morocco,MAD,4000.0,0.099,396.0,673.4448,-277.4448,-41.197853187076355,2
67,11,jo,Jordan,JOD,1240.0,1.41,1748.3999999999999,673.4448,1074.9551999999999,159.62038759524165,3
68,12,ma,Morocco,MAD,3100.0,0.099,306.90000000000003,562.8224000000001,-255.9224000000001,-45.471253454020314,1
68,12,ma,Morocco,MAD,3200.0,0.099,316.8,562.8224000000001,-246.02240000000012,-43.71226162995646,2
68,11,jo,Jordan,JOD,1090.0,1.41,1536.8999999999999,562.8224000000001,974.0775999999997,173.0701549902775,3
69,12,ma,Morocco,MAD,2600.0,0.099,257.40000000000003,644.2229333333333,-386.8229333333333,-60.04488715293588,1
69,12,ma,Morocco,MAD,2700.0,0.099,267.3,644.2229333333333,-376.92293333333333,-58.50815204343341,2
69,11,jo,Jordan,JOD,940.0,1.41,1325.3999999999999,644.2229333333333,681.1770666666665,105.73623375096652,3
1080,1,ae,United Arab Emirates,AED,3299.0,0.272,897.3280000000001,897.3280000000001,0.0,0.0,1
1082,12,ma,Morocco,MAD,4500.0,0.099,445.5,1179.5384615384617,-734.0384615384617,-62.230989956958396,1
1082,12,ma,Morocco,MAD,4600.0,0.099,455.40000000000003,1179.5384615384617,-724.1384615384616,-61.39167862266858,2
1083,12,ma,Morocco,MAD,4000.0,0.099,396.0,1139.2095135135135,-743.2095135135135,-65.23905433525836,1
1083,12,ma,Morocco,MAD,4100.0,0.099,405.90000000000003,1139.2095135135135,-733.3095135135134,-64.37003069363982,2
1084,12,ma,Morocco,MAD,3500.0,0.099,346.5,928.392275862069,-581.892275862069,-62.67741460060581,1
1084,12,ma,Morocco,MAD,3600.0,0.099,356.40000000000003,928.392275862069,-571.9922758620689,-61.61105501776597,2
1085,12,ma,Morocco,MAD,3200.0,0.099,316.8,946.9539310344828,-630.1539310344829,-66.54536301951696,1
1085,12,ma,Morocco,MAD,3300.0,0.099,326.7,946.9539310344828,-620.2539310344828,-65.49990561387685,2
1091,6,kw,Kuwait,KWD,379.9,3.25,1234.675,,,,1
1092,6,kw,Kuwait,KWD,329.9,3.25,1072.175,,,,1
1093,6,kw,Kuwait,KWD,289.9,3.25,942.175,,,,1
1094,6,kw,Kuwait,KWD,259.9,3.25,844.675,,,,1
Apple iPhone 15,4,tr,Turkey,TRY,249.9,0.03,7.497,,,,1
Apple iPhone 15,4,tr,Turkey,TRY,249.9,0.03,7.497,,,,1
Apple iPhone 15,7,qa,Qatar,QAR,299.9,0.275,82.4725,,,,3
Apple iPhone 15,7,qa,Qatar,QAR,299.9,0.275,82.4725,,,,3
Apple iPhone 15,7,qa,Qatar,QAR,299.9,0.275,82.4725,,,,3
Apple iPhone 15,6,kw,Kuwait,KWD,249.9,3.25,812.1750000000001,,,,6
Apple iPhone 15 Plus,4,tr,Turkey,TRY,279.9,0.03,8.396999999999998,,,,1
Apple iPhone 15 Plus,4,tr,Turkey,TRY,279.9,0.03,8.396999999999998,,,,1
Apple iPhone 15 Plus,7,qa,Qatar,QAR,329.9,0.275,90.7225,,,,3
Apple iPhone 15 Plus,7,qa,Qatar,QAR,329.9,0.275,90.7225,,,,3
Apple iPhone 15 Plus,7,qa,Qatar,QAR,329.9,0.275,90.7225,,,,3
Apple iPhone 15 Plus,6,kw,Kuwait,KWD,279.9,3.25,909.675,,,,6
Apple iPhone 15 Pro,4,tr,Turkey,TRY,319.9,0.03,9.597,,,,1
Apple iPhone 15 Pro,4,tr,Turkey,TRY,319.9,0.03,9.597,,,,1
Apple iPhone 15 Pro,7,qa,Qatar,QAR,379.9,0.275,104.4725,,,,3
Apple iPhone 15 Pro,7,qa,Qatar,QAR,379.9,0.275,104.4725,,,,3
Apple iPhone 15 Pro,7,qa,Qatar,QAR,379.9,0.275,104.4725,,,,3
Apple iPhone 15 Pro,6,kw,Kuwait,KWD,319.9,3.25,1039.675,,,,6
Apple iPhone 15 Pro Max,4,tr,Turkey,TRY,369.9,0.03,11.097,,,,1
Apple iPhone 15 Pro Max,4,tr,Turkey,TRY,369.9,0.03,11.097,,,,1
Apple iPhone 15 Pro Max,7,qa,Qatar,QAR,429.9,0.275,118.2225,,,,3
Apple iPhone 15 Pro Max,7,qa,Qatar,QAR,429.9,0.275,118.2225,,,,3
Apple iPhone 15 Pro Max,7,qa,Qatar,QAR,429.9,0.275,118.2225,,,,3
Apple iPhone 15 Pro Max,6,kw,Kuwait,KWD,369.9,3.25,1202.175,,,,6
Apple iPhone 16,4,tr,Turkey,TRY,299.9,0.03,8.996999999999998,,,,1
Apple iPhone 16,4,tr,Turkey,TRY,299.9,0.03,8.996999999999998,,,,1
Apple iPhone 16,7,qa,Qatar,QAR,349.9,0.275,96.2225,,,,3
Apple iPhone 16,7,qa,Qatar,QAR,349.9,0.275,96.2225,,,,3
Apple iPhone 16,7,qa,Qatar,QAR,349.9,0.275,96.2225,,,,3
Apple iPhone 16,6,kw,Kuwait,KWD,299.9,3.25,974.675,,,,6
Apple iPhone 16 Plus,4,tr,Turkey,TRY,319.9,0.03,9.597,,,,1
Apple iPhone 16 Plus,4,tr,Turkey,TRY,319.9,0.03,9.597,,,,1
Apple iPhone 16 Plus,7,qa,Qatar,QAR,379.9,0.275,104.4725,,,,3
Apple iPhone 16 Plus,7,qa,Qatar,QAR,379.9,0.275,104.4725,,,,3
Apple iPhone 16 Plus,7,qa,Qatar,QAR,379.9,0.275,104.4725,,,,3
